,loss,accuracy,iou_score
0,0.9140370488166809,0.8980899453163147,0.0451531745493412
1,0.8463669419288635,0.9812647104263306,0.08357402682304382
2,0.7444695830345154,0.9883277416229248,0.14762988686561584
3,0.5735220313072205,0.991854727268219,0.27345722913742065
4,0.39637425541877747,0.9930359721183777,0.4359675347805023
5,0.26118287444114685,0.993951678276062,0.5891004204750061
6,0.21470220386981964,0.9938845634460449,0.6516508460044861
7,0.1990748792886734,0.993786633014679,0.6768348217010498
8,0.16690421104431152,0.9943482279777527,0.7215006351470947
9,0.15654699504375458,0.994433581829071,0.734927237033844
10,0.144948348402977,0.9946314096450806,0.7508618831634521
11,0.1475418508052826,0.9944851398468018,0.7482354044914246
12,0.14367283880710602,0.994590163230896,0.7559769153594971
13,0.14107811450958252,0.9945639371871948,0.7582764625549316
14,0.12902124226093292,0.9948671460151672,0.7762567400932312
15,0.11454636603593826,0.9951578974723816,0.7975137233734131
16,0.11564413458108902,0.9951145052909851,0.7957808375358582
17,0.11669174581766129,0.9950908422470093,0.7942051887512207
18,0.12716810405254364,0.994847297668457,0.7806417346000671
19,0.10989925265312195,0.9952443242073059,0.8047696948051453
20,0.10699977725744247,0.9953508377075195,0.8083188533782959
21,0.11770882457494736,0.9949972033500671,0.7918713688850403
22,0.11255911737680435,0.9950928688049316,0.8024797439575195
23,0.10531427711248398,0.9952307343482971,0.8117316365242004
24,0.09266811609268188,0.9956105351448059,0.8312558531761169
25,0.08965948224067688,0.9957388639450073,0.8365780711174011
26,0.08870784193277359,0.9957666993141174,0.838238000869751
27,0.09837442636489868,0.9954412579536438,0.8232781887054443
28,0.10251637548208237,0.9953494668006897,0.815940797328949
29,0.08780276775360107,0.9957206845283508,0.8396407961845398
30,0.11014226078987122,0.9951624274253845,0.8048424124717712
31,0.09499359130859375,0.9955535531044006,0.8277801871299744
32,0.09377283602952957,0.9955266714096069,0.8310050368309021
33,0.08732683211565018,0.9957326054573059,0.8399503827095032
34,0.08185207098722458,0.9958788752555847,0.8491104245185852
35,0.08376443386077881,0.9958364367485046,0.8458052277565002
36,0.08494309335947037,0.9957902431488037,0.8449460864067078
37,0.07958189398050308,0.9959530830383301,0.8530283570289612
38,0.07654964178800583,0.9960304498672485,0.8581503033638
39,0.07434997707605362,0.9960843920707703,0.8619258403778076
40,0.07500461488962173,0.9960927963256836,0.8607825636863708
41,0.0767553374171257,0.9960622787475586,0.8579098582267761
42,0.09437384456396103,0.995559811592102,0.828809916973114
43,0.09956195950508118,0.9954034686088562,0.8210639953613281
44,0.09534475207328796,0.9955676794052124,0.8264439105987549
45,0.08603363484144211,0.9957598447799683,0.8425293564796448
46,0.08840599656105042,0.9957312941551208,0.8381132483482361
47,0.07973752915859222,0.995898425579071,0.8527969717979431
48,0.07519707083702087,0.9960805773735046,0.8604739308357239
49,0.07345239073038101,0.9961082935333252,0.8634830117225647
50,0.07121144980192184,0.9961652755737305,0.8672567009925842
51,0.06982774287462234,0.996195912361145,0.8697521686553955
52,0.06914033740758896,0.9962179064750671,0.8708934187889099
53,0.0692031979560852,0.9962078332901001,0.8707587718963623
54,0.07016042619943619,0.9961861371994019,0.8691980242729187
55,0.06952254474163055,0.9962244629859924,0.8703363537788391
56,0.06957676261663437,0.9962144494056702,0.8701462745666504
57,0.06666360050439835,0.9962779879570007,0.875255286693573
58,0.06770572811365128,0.9962496757507324,0.8733534216880798
59,0.06644022464752197,0.9962574243545532,0.875626802444458
60,0.06509363651275635,0.9962887763977051,0.8779504895210266
61,0.0669756606221199,0.9962860941886902,0.8747302889823914
62,0.06506890803575516,0.9962902665138245,0.8780511021614075
63,0.06424704939126968,0.9963233470916748,0.8794566988945007
64,0.0623658113181591,0.9963528513908386,0.8827659487724304
65,0.06542924046516418,0.9962897300720215,0.8774089217185974
66,0.0634400025010109,0.996356189250946,0.8808634281158447
67,0.06178336217999458,0.9964088797569275,0.8838236927986145
68,0.060548990964889526,0.9964087605476379,0.8859972953796387
69,0.05999914929270744,0.9964370131492615,0.8870437145233154
70,0.06713996082544327,0.9962859749794006,0.8744996190071106
71,0.08659397810697556,0.9957283735275269,0.8420131206512451
72,0.07353011518716812,0.9960659146308899,0.8633822798728943
73,0.07411335408687592,0.9959920048713684,0.8626285195350647
74,0.06403683871030807,0.9963314533233643,0.8798864483833313
75,0.08136138319969177,0.9958203434944153,0.8504347205162048
76,0.0721079409122467,0.9961463809013367,0.8657607436180115
77,0.07133392989635468,0.9961525201797485,0.8670680522918701
78,0.06530269235372543,0.9963217973709106,0.8776199817657471
79,0.06276466697454453,0.9963679909706116,0.8820590972900391
80,0.06265797466039658,0.9963255524635315,0.8823184370994568
81,0.06345436722040176,0.9963493943214417,0.8808882236480713
82,0.0649796649813652,0.9963009357452393,0.8781773447990417
83,0.06227383390069008,0.9963405728340149,0.8829631209373474
84,0.05924215540289879,0.9964407682418823,0.8883143067359924
85,0.058386966586112976,0.9964572787284851,0.889842689037323
86,0.05730855464935303,0.996468186378479,0.8917776942253113
87,0.056071508675813675,0.9964908957481384,0.8939998745918274
88,0.05533112213015556,0.9965029358863831,0.8953303694725037
89,0.059178635478019714,0.9964484572410583,0.8885149955749512
90,0.0568973533809185,0.9964911937713623,0.8925796151161194
91,0.05702123045921326,0.9964901804924011,0.8923456072807312
92,0.05553192272782326,0.9965050220489502,0.8949799537658691
93,0.056031059473752975,0.9965099692344666,0.8940654397010803
94,0.055648669600486755,0.9965090751647949,0.8947723507881165
95,0.0552835613489151,0.9965246319770813,0.8954352736473083
96,0.0539412647485733,0.9965268969535828,0.8978086113929749
97,0.053538043051958084,0.9965378046035767,0.8985515236854553
98,0.053056251257658005,0.9965453743934631,0.8994442820549011
99,0.053421780467033386,0.9965426921844482,0.8987769484519958
